InputFileName,site,soil_horizon,warming,nitrogen,invasion,Treatment,file,notes
X24gmo,,,Control,Control,Invaded,Invaded,SWaN_invasion_N_warming,N0
X24uo,,,Control,Control,Control,Control,SWaN_invasion_N_warming,N0
X2gmo,,,Warm,na,Invaded,Warm/Invaded,SWaN_invasion_N_warming,na
X2uo,,,Warm,na,Control,Warm,SWaN_invasion_N_warming,na
X3gmo,,,na,na,Invaded,Invaded,SWaN_invasion_N_warming,na
X3uo,,,na,na,Control,Control,SWaN_invasion_N_warming,na
X4gmo,,,na,na,Invaded,Invaded,SWaN_invasion_N_warming,na
X4uo,,,na,na,Control,Control,SWaN_invasion_N_warming,na
X5gmo,,,Warm,na,Invaded,Warm/Invaded,SWaN_invasion_N_warming,na
X5uo,,,Warm,na,Control,Warm,SWaN_invasion_N_warming,na
X6gmo,,,na,Nitrogen,Invaded,Nitrogen/Invaded,SWaN_invasion_N_warming,N50
X6uo,,,na,Nitrogen,Control,Nitrogen,SWaN_invasion_N_warming,N50
X7gmo,,,na,na,Invaded,Invaded,SWaN_invasion_N_warming,na
X7uo,,,na,na,Control,Control,SWaN_invasion_N_warming,na
X8gmo,,,Warm,na,Invaded,Warm/Invaded,SWaN_invasion_N_warming,na
X8uo,,,Warm,na,Control,Warm,SWaN_invasion_N_warming,na
