"OTU_ID","kingdom","phylum","class","order","family","genus"
"OTU18117"," Fungi "," Ascomycota "," Eurotiomycetes "," Eurotiales "," Aspergillaceae "," Sclerocleista "
"OTU18122"," Fungi "," Ascomycota "," Sordariomycetes "," unidentified "," unidentified "," unidentified "
"OTU18121"," Fungi "," Ascomycota "," Sordariomycetes "," Sordariales "," unidentified "," unidentified "
"OTU18123"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Leptosphaeriaceae "," Neophaeosphaeria "
"OTU18125"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18126"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18124"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Leptosphaeriaceae "," Leptosphaeria "
"OTU18128"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18127"," Fungi "," Ascomycota "," Dothideomycetes "," Dothideales "," Dothioraceae "," Sydowia "
"OTU18129"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18130"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Microdochiaceae "," Idriella "
"OTU18131"," Fungi "," Ascomycota "," Sordariomycetes "," Hypocreales "," Hypocreales_fam_Incertae_sedis "," Cylindrium "
"OTU18132"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18133"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18134"," Fungi "," Ascomycota "," Dothideomycetes "," unidentified "," unidentified "," unidentified "
"OTU18135"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18138"," Fungi "," Ascomycota "," Eurotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU18136"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18137"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18143"," Fungi "," Ascomycota "," Sordariomycetes "," unidentified "," unidentified "," unidentified "
"OTU18139"," Fungi "," Ascomycota "," Dothideomycetes "," unidentified "," unidentified "," unidentified "
"OTU18144"," Fungi "," Ascomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18140"," Fungi "," Ascomycota "," Lecanoromycetes "," Caliciales "," Physciaceae "," Physcia "
"OTU18145"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18142"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18141"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Pyrenochaetopsidaceae "," Neopyrenochaeta "
"OTU18146"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU18151","",NA,NA,NA,NA,NA
"OTU18150"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU18149"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18148"," Fungi "," Ascomycota "," Eurotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU18147"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU18152"," Fungi "," Ascomycota "," Eurotiomycetes "," Onygenales "," Onygenaceae "," Arachnotheca "
"OTU18154"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Lophiostomataceae "," Neovaginatispora "
"OTU18153"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18155"," Fungi "," Ascomycota "," Pezizomycetes "," Pezizales "," Ascobolaceae "," Ascobolus "
"OTU18157"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU18156"," Fungi "," Ascomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18159"," Fungi "," Ascomycota "," Dothideomycetes "," unidentified "," unidentified "," unidentified "
"OTU18160"," Fungi "," Basidiomycota "," Tremellomycetes "," Tremellales "," Bulleraceae "," Bullera "
"OTU18158"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18165","",NA,NA,NA,NA,NA
"OTU18162"," Fungi "," Ascomycota "," Dothideomycetes "," Tubeufiales "," Tubeufiaceae "," Acanthostigma "
"OTU18164"," Fungi "," Ascomycota "," Eurotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU18161"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Amphisphaeriaceae "," unidentified "
"OTU18163"," Fungi "," Ascomycota "," Arthoniomycetes "," Lichenostigmatales "," Phaeococcomycetaceae "," Phaeococcomyces "
"OTU18166"," Fungi "," Ascomycota "," Sordariomycetes "," unidentified "," unidentified "," unidentified "
"OTU18170"," Fungi "," Rozellomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18167"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Sporormiaceae "," Sporormia "
"OTU18171"," Fungi "," Basidiomycota "," Tremellomycetes "," Tremellales "," Tremellaceae "," Cryptococcus "
"OTU18169"," Fungi "," Ascomycota "," Eurotiomycetes "," Eurotiales "," Trichocomaceae "," Talaromyces "
"OTU18168"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Didymosphaeriaceae "," unidentified "
"OTU18172"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU18175"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18173"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU18177"," Fungi "," Ascomycota "," Pezizomycotina_cls_Incertae_sedis "," Pezizomycotina_ord_Incertae_sedis "," Pezizomycotina_fam_Incertae_sedis "," Ciliophora "
"OTU18174"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18180"," Fungi "," Ascomycota "," Pezizomycotina_cls_Incertae_sedis "," Pezizomycotina_ord_Incertae_sedis "," Pezizomycotina_fam_Incertae_sedis "," Ciliophora "
"OTU18176"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18183"," Fungi "," Ascomycota "," Orbiliomycetes "," Orbiliales "," Orbiliaceae "," Orbilia "
"OTU18178"," Fungi "," Ascomycota "," Dothideomycetes "," Capnodiales "," Cladosporiaceae "," Cladosporium "
"OTU18181"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU18179"," Fungi "," Ascomycota "," Leotiomycetes "," Helotiales "," Helotiaceae "," Scytalidium "
"OTU18184"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Teichosporaceae "," unidentified "
"OTU18182"," Fungi "," Ascomycota "," Leotiomycetes "," Thelebolales "," unidentified "," unidentified "
"OTU18185"," Fungi "," Ascomycota "," Leotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU18187"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Omphalotaceae "," Gymnopus "
