OTU81	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.36)	+
OTU83	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3332354.08FU(0.96)	+
OTU84			
OTU82	k:Fungi(1.00),p:Chytridiomycota(0.79),c:Lobulomycetes(0.37),o:Lobulomycetales(0.37),f:unidentified(0.49),g:unidentified(0.53),s:Lobulomycetales_sp|SH1245320.08FU(0.12)	+
OTU86			
OTU85			
OTU87			
OTU88			
OTU89	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.64)	+
OTU90			
OTU91			
OTU94			
OTU93			
OTU95			
OTU92	k:Fungi(1.00),p:unidentified(0.88),c:unidentified(0.88),o:unidentified(0.88),f:unidentified(0.88),g:unidentified(0.88),s:Fungi_sp|SH3316286.08FU(0.88)	+
OTU96			
OTU97			
OTU98			
OTU99	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH3312802.08FU(0.99)	+
OTU101			
OTU100			
OTU103			
OTU102			
OTU105			
OTU104	k:Fungi(1.00),p:Ascomycota(1.00),c:Pezizomycetes(1.00),o:Pezizales(1.00),f:Pyronemataceae(1.00),g:Genea(1.00),s:Genea_sp|SH1149489.08FU(0.20)	+
OTU106			
OTU107	k:Fungi(1.00),p:Rozellomycota(1.00),c:Rozellomycotina_cls_Incertae_sedis(1.00),o:GS05(1.00),f:unidentified(1.00),g:unidentified(1.00),s:GS05_sp|SH1244232.08FU(1.00)	+
OTU108			
OTU110	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU109			
OTU111			
OTU112			
OTU113	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2750882.08FU(0.81)	+
OTU114	k:Fungi(1.00),p:unidentified(0.88),c:unidentified(0.88),o:unidentified(0.88),f:unidentified(0.89),g:unidentified(0.90),s:Fungi_sp|SH3316286.08FU(0.86)	+
OTU116	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU115	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Omphalotaceae(1.00),g:Gymnopus(1.00),s:Gymnopus_sp|SH2711993.08FU(0.99)	+
OTU117	k:Fungi(1.00),p:Mortierellomycota(0.99),c:unidentified(0.28),o:unidentified(0.28),f:unidentified(0.95),g:unidentified(0.97),s:Mortierellomycota_sp|SH3343607.08FU(0.28)	+
OTU118			
OTU120			
OTU119			
OTU121			
OTU122			
OTU123			
OTU124			
OTU125			
OTU128			
OTU129			
OTU126	k:Fungi(1.00),p:Basidiomycota(0.98),c:Agaricomycetes(0.98),o:Agaricales(0.98),f:Omphalotaceae(0.98),g:Gymnopus(0.98),s:Gymnopus_sp|SH1544627.08FU(0.61)	+
OTU127	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Omphalotaceae(1.00),g:Gymnopus(1.00),s:Gymnopus_sp|SH1544627.08FU(0.63)	+
OTU130			
OTU131	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2619565.08FU(0.04)	+
OTU132			
OTU134			
OTU133	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Omphalotaceae(0.92),g:Gymnopus(0.92),s:Gymnopus_ocior|SH1544627.08FU(0.76)	+
OTU135			
OTU136	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU137	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU138			
OTU139			
OTU140	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Omphalotaceae(1.00),g:Gymnopus(1.00),s:Gymnopus_spongiosus|SH1544629.08FU(1.00)	+
OTU142			
OTU143	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.90)	+
OTU144	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU141			
OTU145			
OTU146	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3337706.08FU(1.00)	+
OTU147			
OTU148			
OTU149	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH2750882.08FU(0.07)	+
OTU150			
OTU151			
OTU152			
OTU153			
OTU154			
OTU155			
OTU156	k:Fungi(1.00),p:Rozellomycota(1.00),c:Rozellomycotina_cls_Incertae_sedis(1.00),o:GS05(1.00),f:unidentified(1.00),g:unidentified(1.00),s:GS05_sp|SH3337247.08FU(1.00)	+
OTU157			
OTU158	k:Fungi(1.00),p:unidentified(0.87),c:unidentified(0.87),o:unidentified(0.87),f:unidentified(0.87),g:unidentified(0.87),s:Fungi_sp|SH3316286.08FU(0.87)	+
OTU160			
OTU159			
OTU161			
OTU162			
OTU163	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(0.99)	+
OTU166			
OTU164			
OTU165	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(0.96),g:Piptocephalis(0.96),s:Piptocephalis_sp|SH2707790.08FU(0.96)	+
OTU168	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1556248.08FU(0.39)	+
OTU167			
OTU169			
OTU170			
OTU171	k:Fungi(1.00),p:Zoopagomycota(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Zoopagomycota_sp|SH3337089.08FU(1.00)	+
OTU172			
OTU174	k:Fungi(1.00),p:unidentified(0.90),c:unidentified(0.90),o:unidentified(0.90),f:unidentified(0.90),g:unidentified(0.90),s:Fungi_sp|SH1225845.08FU(0.04)	+
OTU173	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU176			
OTU177	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:Syncephalis(1.00),s:Syncephalis_sp|SH2720281.08FU(0.91)	+
OTU175			
OTU179	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.94)	+
OTU178			
OTU181			
OTU183			
OTU182			
OTU185	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3686723.08FU(1.00)	+
OTU180			
OTU186			
OTU184			
OTU187			
OTU188	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1556248.08FU(0.88)	+
OTU192	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:Syncephalis(1.00),s:Syncephalis_sp|SH2720281.08FU(0.21)	+
OTU189			
OTU193			
OTU191			
OTU194			
OTU195	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3568673.08FU(1.00)	+
OTU190			
OTU196	k:Fungi(1.00),p:unidentified(0.97),c:unidentified(0.97),o:unidentified(0.97),f:unidentified(0.97),g:unidentified(0.98),s:Fungi_sp|SH1529829.08FU(0.97)	+
OTU197			
OTU198			
OTU199			
OTU200	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU201	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2720528.08FU(1.00)	+
